Cycle=1_Fc=1_X	Cycle=1_Fc=1_Y	Cycle=1_Fc=2_X	Cycle=1_Fc=2_Y
671	21535.5	671	21233.8
672	21535.5	672	21233.8
673	21535.5	673	21233.8
674	21535.5	674	21233.8
675	21535.5	675	21233.8
676	21535.5	676	21233.8
677	21535.5	677	21233.8
678	21535.5	678	21233.9
679	21535.5	679	21233.9
680	21535.5	680	21233.9
681	21535.5	681	21233.9
682	21535.5	682	21233.9
683	21535.5	683	21233.9
684	21535.5	684	21233.9
685	21535.5	685	21234
686	21535.5	686	21234
687	21535.5	687	21234
688	21535.5	688	21234
689	21535.5	689	21234.1
690	21535.5	690	21234.1
691	21535.5	691	21234.1
692	21535.5	692	21234.1
693	21535.5	693	21234.1
694	21535.5	694	21234.1
695	21535.5	695	21234.1
696	21535.5	696	21234.1
697	21535.5	697	21234.2
698	21535.5	698	21234.2
699	21535.5	699	21234.2
700	21535.5	700	21234.2
701	21535.5	701	21234.2
702	21535.5	702	21234.2
703	21535.5	703	21234.2
704	21535.4	704	21234.2
705	21535.4	705	21234.2
706	21535.4	706	21234.2
707	21535.4	707	21234.2
708	21535.4	708	21234.2
709	21535.4	709	21234.3
710	21535.4	710	21234.3
711	21535.4	711	21234.3
712	21535.4	712	21234.3
713	21535.4	713	21234.3
714	21535.4	714	21234.3
715	21535.4	715	21234.3
716	21535.4	716	21234.4
717	21535.5	717	21234.4
718	21535.5	718	21234.4
719	21535.5	719	21234.4
720	21535.5	720	21234.4
721	21535.5	721	21234.4
722	21535.4	722	21234.5
723	21535.4	723	21234.5
724	21535.4	724	21234.5
725	21535.4	725	21234.5
726	21535.4	726	21234.5
727	21535.4	727	21234.5
728	21535.4	728	21234.5
729	21535.4	729	21234.6
730	21535.4	730	21234.6
731	21535.4	731	21234.6
732	21535.4	732	21234.6
733	21535.4	733	21234.6
734	21535.4	734	21234.6
735	21535.4	735	21234.7
736	21535.4	736	21234.7
737	21535.4	737	21234.7
738	21535.4	738	21234.7
739	21535.4	739	21234.7
740	21535.4	740	21234.7
741	21535.4	741	21234.7
742	21535.4	742	21234.7
743	21535.4	743	21234.7
744	21535.4	744	21234.7
745	21535.4	745	21234.7
746	21535.4	746	21234.7
747	21535.4	747	21234.7
748	21535.4	748	21234.7
749	21535.4	749	21234.8
750	21535.4	750	21234.8
751	21535.4	751	21234.8
752	21535.4	752	21234.8
753	21535.4	753	21234.8
754	21535.4	754	21234.8
755	21535.4	755	21234.8
756	21535.4	756	21234.8
757	21535.4	757	21234.8
758	21535.4	758	21234.9
759	21535.4	759	21234.9
760	21535.4	760	21234.9
761	21535.4	761	21234.9
762	21535.4	762	21234.9
763	21535.3	763	21234.9
764	21535.3	764	21234.9
765	21535.4	765	21234.9
766	21535.3	766	21234.9
767	21535.3	767	21234.9
768	21535.3	768	21234.9
769	21535.3	769	21234.9
770	21535.3	770	21234.9
771	21535.3	771	21234.9
772	21535.3	772	21235
