Fc4_KU7+PEG_H4 [0.078]_X	Fc4_KU7+PEG_H4 [0.078]_Y	Fc4_KU7+PEG_H4 [0.156]_X	Fc4_KU7+PEG_H4 [0.156]_Y	Fc4_KU7+PEG_H4 [0.313]_X	Fc4_KU7+PEG_H4 [0.313]_Y	Fc4_KU7+PEG_H4 [0.625]_X	Fc4_KU7+PEG_H4 [0.625]_Y	Fc4_KU7+PEG_H4 [1.25]_X	Fc4_KU7+PEG_H4 [1.25]_Y	Fc4_KU7+PEG_H4 [2.5]_X	Fc4_KU7+PEG_H4 [2.5]_Y	Fc4_KU7+PEG_H4 [5]_X	Fc4_KU7+PEG_H4 [5]_Y	Fit on Fc4_KU7+PEG_H4 [0.078]_X	Fit on Fc4_KU7+PEG_H4 [0.078]_Y	Fit on Fc4_KU7+PEG_H4 [0.156]_X	Fit on Fc4_KU7+PEG_H4 [0.156]_Y	Fit on Fc4_KU7+PEG_H4 [0.313]_X	Fit on Fc4_KU7+PEG_H4 [0.313]_Y	Fit on Fc4_KU7+PEG_H4 [0.625]_X	Fit on Fc4_KU7+PEG_H4 [0.625]_Y	Fit on Fc4_KU7+PEG_H4 [1.25]_X	Fit on Fc4_KU7+PEG_H4 [1.25]_Y	Fit on Fc4_KU7+PEG_H4 [2.5]_X	Fit on Fc4_KU7+PEG_H4 [2.5]_Y	Fit on Fc4_KU7+PEG_H4 [5]_X	Fit on Fc4_KU7+PEG_H4 [5]_Y
-65.3	-0.322266	-65.3	-0.53125	-65.3	-0.638672	-65.3	-0.667969	-65.3	-0.791016	-65.3	-0.822266	-65.3	-1.02344	-9.9177	0	-9.9177	0	-9.9177	0	-9.9177	0	-9.9177	0	-9.9177	0	-9.9177	0
-65.2	-0.322266	-65.2	-0.53125	-65.2	-0.638672	-65.2	-0.667969	-65.2	-0.791016	-65.2	-0.822266	-65.2	-1.02344	-8.36027	0	-8.36027	0	-8.36027	0	-8.36027	0	-8.36027	0	-8.36027	0	-8.36027	0
-65.1	-0.322266	-65.1	-0.53125	-65.1	-0.628906	-65.1	-0.667969	-65.1	-0.791016	-65.1	-0.822266	-65.1	-1.02344	-6.80284	0	-6.80284	0	-6.80284	0	-6.80284	0	-6.80284	0	-6.80284	0	-6.80284	0
-65	-0.322266	-65	-0.521484	-65	-0.628906	-65	-0.667969	-65	-0.791016	-65	-0.822266	-65	-1.02344	-5.24541	0	-5.24541	0	-5.24541	0	-5.24541	0	-5.24541	0	-5.24541	0	-5.24541	0
-64.9	-0.3125	-64.9	-0.511719	-64.9	-0.619141	-64.9	-0.658203	-64.9	-0.78125	-64.9	-0.8125	-64.9	-1.01367	-3.68798	0	-3.68798	0	-3.68798	0	-3.68798	0	-3.68798	0	-3.68798	0	-3.68798	0
-64.8	-0.3125	-64.8	-0.511719	-64.8	-0.609375	-64.8	-0.658203	-64.8	-0.78125	-64.8	-0.8125	-64.8	-1.01367	-2.13055	0	-2.13055	0	-2.13055	0	-2.13055	0	-2.13055	0	-2.13055	0	-2.13055	0
-64.7	-0.3125	-64.7	-0.511719	-64.7	-0.609375	-64.7	-0.658203	-64.7	-0.78125	-64.7	-0.8125	-64.7	-1.00391	-0.573121	0	-0.573121	0	-0.573121	0	-0.573121	0	-0.573121	0	-0.573121	0	-0.573121	0
-64.6	-0.3125	-64.6	-0.511719	-64.6	-0.609375	-64.6	-0.658203	-64.6	-0.791016	-64.6	-0.8125	-64.6	-1.00391	0.984308	5.67798	0.984308	7.61331	0.984308	14.7335	0.984308	25.6612	0.984308	41.9145	0.984308	43.0755	0.984308	26.8137
-64.5	-0.3125	-64.5	-0.511719	-64.5	-0.609375	-64.5	-0.658203	-64.5	-0.791016	-64.5	-0.822266	-64.5	-1.00391	2.54174	6.00142	2.54174	8.09236	2.54174	15.4714	2.54174	26.8252	2.54174	44.1541	2.54174	47.7517	2.54174	39.1658
-64.4	-0.3125	-64.4	-0.511719	-64.4	-0.609375	-64.4	-0.658203	-64.4	-0.791016	-64.4	-0.8125	-64.4	-1.00391	4.09917	6.32465	4.09917	8.57091	4.09917	16.208	4.09917	27.9851	4.09917	46.3789	4.09917	52.3676	4.09917	51.2039
